MAHOUT_LOCAL is not set; adding HADOOP_CONF_DIR to classpath.
Running on hadoop, using /usr/hdp/2.3.0.0-2525/hadoop/bin/hadoop and HADOOP_CONF_DIR=/usr/hdp/2.3.0.0-2525/hadoop/conf
MAHOUT-JOB: /usr/hdp/2.3.0.0-2525/mahout/mahout-examples-0.9.0.2.3.0.0-2525-job.jar
Input Path: /user/ec2-user/benchmarks/bigbench/temp/q28_hive_POWER_TEST_IN_PROGRESS_0_temp/result/part-m-00000
Key class: class org.apache.hadoop.io.Text Value Class: class org.apache.mahout.math.VectorWritable
Key: NEG: Value: {0:-1489.9735790704815,1:-1507.4091986140747,2:-1451.7784709646778}
Key: POS: Value: {0:-2701.7695100143796,1:-2708.3505390260757,2:-2663.453896383379}
Key: POS: Value: {0:-633.5592642182855,1:-636.6277833045359,2:-625.861673012619}
Key: POS: Value: {0:-2815.2898766563712,1:-2865.318119169739,2:-2725.222283157788}
Key: POS: Value: {0:-1656.074187871487,1:-1669.1336578219364,2:-1659.0402943250886}
Key: POS: Value: {0:-9528.119670967208,1:-9664.619699502906,2:-9301.596358512512}
Key: POS: Value: {0:-4642.633970077491,1:-4730.895294261385,2:-4593.832555093401}
Key: POS: Value: {0:-3836.4154064974455,1:-3845.389032919704,2:-3715.0791547967588}
Key: POS: Value: {0:-7320.365806359362,1:-7376.41616181347,2:-7185.322556188586}
Key: POS: Value: {0:-3915.774157226573,1:-3941.05540542786,2:-3798.0417892812666}
Key: POS: Value: {0:-1624.6309352676483,1:-1549.2567320466026,2:-1532.5712034054995}
Key: POS: Value: {0:-922.5897485997979,1:-904.511502409035,2:-900.8864978110844}
Key: POS: Value: {0:-3362.192362729517,1:-3434.921249880228,2:-3304.123733145174}
Key: POS: Value: {0:-2848.598761244914,1:-2869.236155323924,2:-2819.6525010592823}
Key: POS: Value: {0:-1317.4001463095703,1:-1304.3435991005183,2:-1270.0496121028477}
Key: POS: Value: {0:-2025.8783949419658,1:-1976.2068846546583,2:-2016.4756277622566}
Key: POS: Value: {0:-9864.916211757873,1:-9812.79288970652,2:-9593.497312508658}
Key: POS: Value: {0:-11239.900589474917,1:-11311.85536658316,2:-10926.3951307229}
Key: POS: Value: {0:-2866.8760264307502,1:-2910.8080320278686,2:-2822.898259230098}
Key: POS: Value: {0:-2857.4303789311934,1:-2870.731054463396,2:-2805.8780287115337}
Key: POS: Value: {0:-4011.7872720971295,1:-4059.652692120808,2:-3954.2357877268664}
Key: POS: Value: {0:-941.9122487856857,1:-894.1802046186116,2:-887.4761168045475}
Key: POS: Value: {0:-10514.326353461756,1:-10658.259025426694,2:-10168.683815168106}
Key: POS: Value: {0:-1334.2872751792086,1:-1378.1636575203668,2:-1344.4900895246408}
Key: POS: Value: {0:-995.122266754785,1:-1031.7357345054459,2:-997.4117372736059}
Key: POS: Value: {0:-8368.305473824526,1:-8353.052960403764,2:-8132.734946686705}
Key: POS: Value: {0:-3551.8488174644585,1:-3586.765147042622,2:-3403.930923975006}
Key: POS: Value: {0:-7675.592232217901,1:-7715.548372125203,2:-7528.716855227899}
Key: POS: Value: {0:-7219.836844544181,1:-7354.184557907408,2:-7143.129856954963}
Key: POS: Value: {0:-17398.35460662375,1:-17540.181702696307,2:-16802.710721731626}
Key: POS: Value: {0:-6480.5082957586565,1:-6558.041669181739,2:-6316.582905556983}
Key: POS: Value: {0:-5639.536713752104,1:-5642.609565351381,2:-5479.857021072149}
Key: POS: Value: {0:-454.0180678699931,1:-468.92891367146973,2:-437.51967004698156}
Key: POS: Value: {0:-1858.2547328358723,1:-1901.3473086353856,2:-1836.882925459732}
Key: POS: Value: {0:-4842.793883690569,1:-4715.005371760974,2:-4708.752142183175}
Key: POS: Value: {0:-8836.994991300739,1:-8773.555090447131,2:-8580.612729530418}
Key: POS: Value: {0:-3908.5462611834696,1:-3870.759515418753,2:-3770.6400408115087}
Key: POS: Value: {0:-1782.6307186218132,1:-1824.7992531634945,2:-1723.6119551782112}
Key: POS: Value: {0:-1066.7280664485409,1:-1092.0684321817907,2:-1061.3520496860097}
Key: POS: Value: {0:-4378.333532297238,1:-4308.856905102839,2:-4296.512596556062}
Key: POS: Value: {0:-1116.904011047788,1:-1175.9785742363808,2:-1125.0594374318182}
Key: POS: Value: {0:-255.17793600380745,1:-249.67700042292824,2:-236.37736885881097}
Key: POS: Value: {0:-14757.184918697998,1:-14734.334090635964,2:-14400.087874696497}
Key: POS: Value: {0:-1722.6071262875735,1:-1797.731155956951,2:-1717.9315462924453}
Key: POS: Value: {0:-2452.930842459969,1:-2448.2135887593067,2:-2431.4282681684354}
Key: POS: Value: {0:-3375.400271521441,1:-3355.9590108465122,2:-3304.558497440103}
Key: POS: Value: {0:-4509.13133513032,1:-4500.565673060428,2:-4285.505336205968}
Key: POS: Value: {0:-18423.348235196787,1:-18746.364304025246,2:-18106.042326125233}
Key: POS: Value: {0:-1715.4083008977855,1:-1702.6680434187363,2:-1684.6873230654933}
Key: POS: Value: {0:-5050.633841807705,1:-5166.65344339394,2:-5045.382645526545}
Key: POS: Value: {0:-583.7890124904551,1:-616.0921824942832,2:-590.368944178745}
Key: POS: Value: {0:-1808.5969990395326,1:-1823.0593068921905,2:-1766.7331329449069}
Key: POS: Value: {0:-3893.7218472329055,1:-3954.860461091161,2:-3813.644562513973}
Key: POS: Value: {0:-1123.8898256138016,1:-1109.9841004126815,2:-1098.6030237149864}
Key: POS: Value: {0:-3493.2697952218864,1:-3575.8572233584455,2:-3484.6642738077785}
Key: POS: Value: {0:-431.39787294885423,1:-436.5973535698889,2:-423.0170936513055}
Key: POS: Value: {0:-9374.324279863436,1:-9276.893756186488,2:-9150.373263604748}
Key: POS: Value: {0:-540.7500974847367,1:-563.7662242815022,2:-531.7894141880051}
Key: POS: Value: {0:-5692.983612348295,1:-5769.24298348875,2:-5565.756238832924}
Key: POS: Value: {0:-1742.6606999561009,1:-1727.0490760202915,2:-1655.9725299904924}
Key: POS: Value: {0:-3204.7049143351514,1:-3246.700709519102,2:-3137.4616317266327}
Key: POS: Value: {0:-1011.0035252261795,1:-1066.5797189421755,2:-999.405291751985}
Key: POS: Value: {0:-963.1444206701287,1:-974.5146472078076,2:-942.9502311896686}
Key: POS: Value: {0:-5653.730038742477,1:-5760.124373426937,2:-5590.0181430600405}
Key: POS: Value: {0:-1412.0594356497293,1:-1368.3914727984861,2:-1383.235053349523}
Key: POS: Value: {0:-232.22418640503375,1:-235.36238585969724,2:-226.52912809320813}
Key: POS: Value: {0:-1320.819551002146,1:-1259.241528006569,2:-1247.0805176061301}
Key: POS: Value: {0:-2041.5831775511153,1:-2050.9937404162465,2:-2014.6405941720714}
Key: POS: Value: {0:-1196.7844788279194,1:-1180.270205141506,2:-1198.0850016974844}
Key: POS: Value: {0:-3374.195574955865,1:-3375.023926662333,2:-3312.5068587749447}
Key: POS: Value: {0:-3676.799329433078,1:-3752.102683714479,2:-3637.8329960803785}
Key: POS: Value: {0:-11788.139083402086,1:-11994.95513473595,2:-11585.020598208319}
Key: POS: Value: {0:-2234.1302769425142,1:-2203.813957056109,2:-2179.4254485632787}
Key: POS: Value: {0:-5704.0681142056155,1:-5813.299922887609,2:-5577.894964399085}
Key: POS: Value: {0:-1534.7997744117656,1:-1472.5461362656004,2:-1418.548629841171}
Key: POS: Value: {0:-1180.7950927590632,1:-1215.6058640920414,2:-1164.165742852229}
Key: POS: Value: {0:-1606.8382593478764,1:-1637.128714048166,2:-1607.1551839081292}
Key: POS: Value: {0:-4194.035831692698,1:-4220.36922857544,2:-4131.663849631349}
Key: POS: Value: {0:-678.1262739170134,1:-692.1290745016387,2:-657.3597600553749}
Key: POS: Value: {0:-4245.939853933304,1:-4411.064153218684,2:-4231.720914490262}
Key: POS: Value: {0:-3327.910503996983,1:-3301.2454921086683,2:-3206.0885254955847}
Key: POS: Value: {0:-5606.425036813488,1:-5752.397707822628,2:-5547.51531684587}
Key: POS: Value: {0:-5103.287248637302,1:-5201.908812867012,2:-4968.414038077986}
Key: POS: Value: {0:-2319.3898565883933,1:-2357.047318861546,2:-2285.37076371078}
Key: POS: Value: {0:-6887.989816525081,1:-6938.460931689527,2:-6711.561998369014}
Key: POS: Value: {0:-11551.633042987834,1:-11652.47421798256,2:-11337.31160359443}
Key: POS: Value: {0:-8102.20676422497,1:-8128.623916664055,2:-7815.899020074427}
Key: POS: Value: {0:-2304.7101576212285,1:-2288.01047604373,2:-2218.929838262708}
Key: POS: Value: {0:-7002.545744225984,1:-6929.692305894865,2:-6805.266391249881}
Key: POS: Value: {0:-915.2781604610524,1:-881.2326939893773,2:-875.9934348521806}
Key: POS: Value: {0:-1608.7022737815537,1:-1583.599470278895,2:-1552.2343209850224}
Key: POS: Value: {0:-1700.483196124332,1:-1750.017954956359,2:-1648.296082483964}
Key: POS: Value: {0:-808.3272303949319,1:-862.5045099558141,2:-822.1859110522939}
Key: POS: Value: {0:-222.59543838461826,1:-216.42328493267286,2:-202.56108803218277}
Key: POS: Value: {0:-2335.400106853523,1:-2340.538054964494,2:-2262.9784472124975}
Key: POS: Value: {0:-323.1935314668563,1:-345.72610912264565,2:-334.0201372403724}
Key: POS: Value: {0:-6752.075723398224,1:-6957.087122987265,2:-6665.602705165003}
Key: POS: Value: {0:-2019.4646435986745,1:-2086.7964767212407,2:-1980.3098867764115}
Key: POS: Value: {0:-2519.0491841555545,1:-2425.563628275002,2:-2396.6820629445115}
Key: POS: Value: {0:-4181.977788667006,1:-4217.234594769349,2:-4089.253882224568}
Key: POS: Value: {0:-1336.3424611289456,1:-1339.4907838490094,2:-1300.0748936514608}
Key: POS: Value: {0:-28533.650936284957,1:-28605.14249006216,2:-27848.649255045915}
Key: POS: Value: {0:-6557.086949930787,1:-6575.001078719477,2:-6489.566985209175}
Key: POS: Value: {0:-6262.476453593369,1:-6316.112073246074,2:-6158.958639300345}
Key: POS: Value: {0:-10367.95057742345,1:-10172.212863191213,2:-10017.140767454968}
Key: POS: Value: {0:-8738.14285079223,1:-8837.445869894831,2:-8608.984787132795}
Key: POS: Value: {0:-5179.059417258301,1:-5204.8625415058395,2:-5102.8209821731025}
Key: POS: Value: {0:-2481.5066614191896,1:-2417.2974521081146,2:-2369.903339951382}
Key: POS: Value: {0:-11057.995763346504,1:-11047.115461211733,2:-10841.877635292765}
Key: POS: Value: {0:-14262.527237366083,1:-14314.335333012079,2:-13916.475503309523}
Key: POS: Value: {0:-9028.357735327278,1:-9167.403189145612,2:-8825.6216708588}
Key: POS: Value: {0:-6391.977888419501,1:-6551.7540970755435,2:-6346.0234347294045}
Key: POS: Value: {0:-2468.2371787426227,1:-2470.4854564431002,2:-2428.452697296136}
Key: POS: Value: {0:-3381.2655703913315,1:-3456.5146024981036,2:-3347.1735389084515}
Key: POS: Value: {0:-342.51391942626356,1:-318.5350635258927,2:-311.0059157302093}
Key: POS: Value: {0:-2675.228740026089,1:-2712.392173318878,2:-2589.288197467079}
Key: POS: Value: {0:-2956.595447386058,1:-2894.9345692770157,2:-2754.1076024871813}
Key: POS: Value: {0:-2658.2385610599295,1:-2580.980704426356,2:-2581.328060779297}
Key: POS: Value: {0:-2541.5886494599367,1:-2469.0357573475903,2:-2455.8242581933628}
Key: POS: Value: {0:-4000.7080244676154,1:-3948.863585144208,2:-3889.4480997178903}
Key: POS: Value: {0:-8693.122455990064,1:-8714.404891990744,2:-8533.248729569204}
Key: POS: Value: {0:-2308.9305374626406,1:-2319.362941777048,2:-2237.4869484006254}
Key: POS: Value: {0:-1594.4532232276827,1:-1610.97527985817,2:-1537.9763783808262}
Key: POS: Value: {0:-3863.8455728925273,1:-3904.997077210835,2:-3802.2624885492655}
Key: POS: Value: {0:-2544.851092625776,1:-2526.787036341483,2:-2448.2182022048023}
Key: POS: Value: {0:-2421.3083435708922,1:-2377.563588045632,2:-2335.414577240791}
Key: POS: Value: {0:-8186.864886237727,1:-8267.155944916904,2:-8017.679387086011}
Key: POS: Value: {0:-1647.0684513206133,1:-1660.8947774966468,2:-1643.527200847201}
Key: POS: Value: {0:-691.0115748341589,1:-653.9224100895291,2:-635.8296369040576}
Key: POS: Value: {0:-22363.117217557454,1:-22324.62512050939,2:-21912.879425842548}
Key: POS: Value: {0:-3403.7721979564362,1:-3427.5745955448465,2:-3313.1528529103953}
Key: POS: Value: {0:-1777.1712948633328,1:-1790.958259755002,2:-1761.3173729532996}
Key: POS: Value: {0:-5458.416801262878,1:-5465.369601887866,2:-5336.639594447045}
Key: POS: Value: {0:-6058.227036991018,1:-6342.132111181126,2:-6040.011815857277}
Key: POS: Value: {0:-12057.570839409336,1:-12231.350079006792,2:-11786.721277896715}
Key: POS: Value: {0:-2538.285856677837,1:-2621.976742983497,2:-2528.4125680400603}
Key: POS: Value: {0:-4390.904057466789,1:-4502.494003854901,2:-4377.475314274042}
Key: POS: Value: {0:-1184.7753688241614,1:-1207.3862293341147,2:-1170.8881004833231}
Key: POS: Value: {0:-982.8706186098452,1:-1032.274104782328,2:-974.1140661265601}
Key: POS: Value: {0:-7902.993976079457,1:-7957.3589474328755,2:-7671.762427235572}
Key: POS: Value: {0:-7998.349755026623,1:-8001.450120033311,2:-7910.551368328071}
Key: POS: Value: {0:-6096.600254748881,1:-6106.829530743112,2:-5951.61216212024}
Key: POS: Value: {0:-821.7634317732363,1:-869.3067917494658,2:-829.2901060785194}
Key: POS: Value: {0:-1238.0418747646613,1:-1225.6012661427953,2:-1200.5839021458364}
Key: POS: Value: {0:-6848.946656641276,1:-6861.661029161135,2:-6762.77488305807}
Key: POS: Value: {0:-1540.471001886509,1:-1578.3093105964515,2:-1539.2006812266495}
Key: POS: Value: {0:-1141.1207070242006,1:-1157.127162138405,2:-1151.8254676909114}
Key: POS: Value: {0:-725.6554567349456,1:-729.0384575706007,2:-691.5580318367723}
Key: POS: Value: {0:-3055.837708330795,1:-3035.273380437089,2:-2985.818223554889}
Key: POS: Value: {0:-20422.219914170997,1:-20380.022917159844,2:-19906.90399661274}
Key: POS: Value: {0:-4715.979590941179,1:-4834.112563370724,2:-4677.740168076258}
Key: POS: Value: {0:-10008.162969664143,1:-10040.67310627224,2:-9766.034211256521}
Key: POS: Value: {0:-2797.4650518513467,1:-2786.950859166171,2:-2792.68412986885}
Key: POS: Value: {0:-4356.248844257008,1:-4325.203857148895,2:-4249.883783554819}
Key: POS: Value: {0:-2615.993870976565,1:-2627.9226015449867,2:-2542.160728316485}
Key: POS: Value: {0:-296.2664163837567,1:-267.17203918314135,2:-273.37641529412343}
Key: POS: Value: {0:-1882.9218840905212,1:-1856.0712613555597,2:-1790.1835874857115}
Key: POS: Value: {0:-4882.332118663318,1:-4944.91039853068,2:-4817.4448737943585}
Key: POS: Value: {0:-1360.6847868928364,1:-1400.2649231717767,2:-1347.8624159668043}
Key: POS: Value: {0:-11896.550704038506,1:-11948.265050736076,2:-11625.332130916235}
Key: POS: Value: {0:-241.0823551761144,1:-242.16854543223772,2:-231.53520530403335}
Key: POS: Value: {0:-2159.492829301663,1:-2169.9562895779186,2:-2079.9857358511867}
Key: POS: Value: {0:-475.0086739788208,1:-475.08871973311057,2:-463.1971405750319}
Key: POS: Value: {0:-914.4183905423935,1:-875.0155330805089,2:-863.9162861332793}
Key: POS: Value: {0:-394.91532296466227,1:-377.22524332335325,2:-373.84403047227045}
Key: POS: Value: {0:-1177.9886428345533,1:-1184.8061304073021,2:-1176.4595327431718}
Key: POS: Value: {0:-3008.9853081768238,1:-3059.286955598921,2:-2913.48636409573}
Key: POS: Value: {0:-5543.795736044247,1:-5535.603565180908,2:-5422.07813285447}
Key: POS: Value: {0:-3866.8271247886787,1:-3933.9660935868833,2:-3814.864566518072}
Key: POS: Value: {0:-11921.843221493917,1:-11973.76456873505,2:-11555.281650043278}
Key: POS: Value: {0:-769.9722769566322,1:-839.7082101018331,2:-772.86903372975}
Key: POS: Value: {0:-294.19305356921484,1:-288.72803485953546,2:-294.6113188328441}
Key: POS: Value: {0:-583.7890124904551,1:-616.0921824942832,2:-590.368944178745}
Key: POS: Value: {0:-8790.252199682009,1:-8909.587842625884,2:-8633.559980820153}
Key: POS: Value: {0:-4017.558655146778,1:-4116.646873012193,2:-3975.641796024077}
Key: POS: Value: {0:-217.8825142047575,1:-247.91590429608118,2:-233.53285990991233}
Key: POS: Value: {0:-3778.661173308525,1:-3762.2631084317045,2:-3721.744060920127}
Key: POS: Value: {0:-1844.157700472412,1:-1859.2038503147426,2:-1762.6311823587728}
Key: POS: Value: {0:-2106.107233008068,1:-2175.550162363059,2:-2093.5112553673443}
Key: POS: Value: {0:-603.4297961298752,1:-637.5777569970672,2:-603.8055131313439}
Key: POS: Value: {0:-341.8933850242984,1:-336.20227913114144,2:-341.777366083066}
Key: POS: Value: {0:-407.90176061616256,1:-417.4418979450388,2:-395.0790614008656}
Key: POS: Value: {0:-165.57728683240825,1:-155.8631190271398,2:-162.01847955159252}
Key: POS: Value: {0:-468.4205860420131,1:-477.5023508622634,2:-454.49821610078874}
Key: POS: Value: {0:-4495.542009285948,1:-4442.215317278623,2:-4356.387078349885}
Key: POS: Value: {0:-3927.968710287311,1:-3935.0058648116874,2:-3869.6278421311836}
Key: POS: Value: {0:-1745.9573018497952,1:-1745.3051645827577,2:-1748.3752102510057}
Key: POS: Value: {0:-3111.827793261491,1:-3165.6446313315932,2:-3080.2217404050825}
Key: POS: Value: {0:-1984.5161429244436,1:-1929.611637194594,2:-1928.3859072467621}
Key: POS: Value: {0:-5244.549154615711,1:-5252.786998608658,2:-5069.429800179532}
Key: POS: Value: {0:-9113.391000060947,1:-9210.951101128268,2:-8845.645016338663}
Key: POS: Value: {0:-217.6580118657053,1:-220.21984214817343,2:-236.55071726423827}
Key: POS: Value: {0:-4593.295983264862,1:-4652.729855363626,2:-4504.752928936239}
Key: POS: Value: {0:-3307.5532664313737,1:-3354.9275843922746,2:-3237.7256160707125}
Key: POS: Value: {0:-479.78207131270887,1:-491.61398470842687,2:-465.1606096826449}
Key: POS: Value: {0:-7650.278025316287,1:-7730.783550838214,2:-7461.7149930857395}
Key: POS: Value: {0:-2755.34756758406,1:-2739.3172784578514,2:-2671.9673673963453}
Key: POS: Value: {0:-1481.7298476547905,1:-1500.9054247637782,2:-1434.953258077779}
Key: POS: Value: {0:-5628.096688971596,1:-5595.332512164926,2:-5338.471753975743}
Key: POS: Value: {0:-1226.9626024179522,1:-1272.6867434189867,2:-1213.4095740590299}
Key: POS: Value: {0:-1484.75667324605,1:-1544.463317590114,2:-1497.4242668612}
Key: POS: Value: {0:-2501.2669244387043,1:-2481.520065967768,2:-2463.567451623193}
Key: POS: Value: {0:-9645.556814072506,1:-9632.836887174486,2:-9346.115038893258}
Key: POS: Value: {0:-4199.677653755288,1:-4262.11863365687,2:-4148.399919150117}
Key: POS: Value: {0:-3080.3968027342394,1:-3201.737355225804,2:-3091.1965853123397}
Key: POS: Value: {0:-1370.6404047800845,1:-1349.2878586414352,2:-1302.127387630564}
Key: POS: Value: {0:-510.7813184440317,1:-535.5808507940852,2:-497.06275550418957}
Key: POS: Value: {0:-2761.1548016962,1:-2755.9468331818994,2:-2650.040763840962}
Key: POS: Value: {0:-4268.3597247359,1:-4405.974876603443,2:-4313.255511486664}
Key: POS: Value: {0:-8997.862783105342,1:-9080.94215482365,2:-8894.398486330727}
Key: POS: Value: {0:-7652.469186002357,1:-7687.727930975721,2:-7462.390570019003}
Key: POS: Value: {0:-1086.122435143289,1:-1070.0626961810742,2:-1056.4221927804188}
Key: POS: Value: {0:-1031.1099227434527,1:-1085.2003336570476,2:-1011.0021676079352}
Key: POS: Value: {0:-3017.8206732331355,1:-3026.3662653156966,2:-2941.751011026183}
Key: POS: Value: {0:-1375.154418770861,1:-1376.436763836949,2:-1365.9076426990464}
Key: POS: Value: {0:-998.211158470671,1:-946.7320000776118,2:-938.5677553107588}
Key: POS: Value: {0:-4290.355377660847,1:-4252.7593140820145,2:-4201.152709020116}
Key: POS: Value: {0:-6306.582099601416,1:-6296.441756577898,2:-6167.425924625191}
Key: POS: Value: {0:-407.34784421089915,1:-427.87382009884925,2:-381.3634941258171}
Key: POS: Value: {0:-66.57361972112223,1:-71.55547134834359,2:-65.784939929287}
Key: POS: Value: {0:-1530.8087436006151,1:-1492.1427402296906,2:-1494.1489469527594}
Key: POS: Value: {0:-7620.280922616401,1:-7649.766110917221,2:-7527.064158868735}
Key: POS: Value: {0:-4950.978531665537,1:-5032.613335663372,2:-4839.245155966628}
Key: POS: Value: {0:-2982.5442267118424,1:-3040.7007976074124,2:-2921.8914912661694}
Key: POS: Value: {0:-1076.8072082846195,1:-1142.1097500621045,2:-1073.301980238093}
Key: POS: Value: {0:-4187.402229736524,1:-4243.0386478532555,2:-4151.893231222539}
Key: POS: Value: {0:-1763.359909882783,1:-1754.9890860395626,2:-1692.628142186405}
Key: POS: Value: {0:-8095.506481037527,1:-8333.066368569704,2:-7993.053926527918}
Key: POS: Value: {0:-3876.4712035442158,1:-3787.519467712008,2:-3707.6366107467334}
Key: POS: Value: {0:-19852.768741351112,1:-20007.60243367663,2:-19419.933360990693}
Key: POS: Value: {0:-1260.314337612177,1:-1227.24131274871,2:-1217.19195767258}
Key: POS: Value: {0:-232.4544026717704,1:-241.81814706449148,2:-220.51823415935144}
Key: POS: Value: {0:-4414.626820073301,1:-4494.827255627247,2:-4279.540472594874}
Key: POS: Value: {0:-1600.035855314029,1:-1581.3278566095914,2:-1523.1088734383218}
Key: POS: Value: {0:-1564.2501121259716,1:-1582.3584095589456,2:-1530.2211408745977}
Key: POS: Value: {0:-5678.8371655799865,1:-5702.404743854295,2:-5496.635526529575}
Key: POS: Value: {0:-1617.16742950381,1:-1596.3650073932172,2:-1550.2238581072368}
Key: POS: Value: {0:-1983.2395294748726,1:-2084.1967259311446,2:-1973.7656349970418}
Key: POS: Value: {0:-2502.465881096103,1:-2573.349243720645,2:-2478.417692454289}
Key: POS: Value: {0:-540.5859366638587,1:-515.3127902831126,2:-500.281036291}
Key: POS: Value: {0:-3335.4221592865256,1:-3421.0673626573607,2:-3333.1142321212938}
Key: POS: Value: {0:-557.9227422504139,1:-538.7344481493711,2:-554.855581467562}
Key: POS: Value: {0:-6277.388002550462,1:-6314.128545391024,2:-6095.818417566974}
Key: POS: Value: {0:-2667.9323320756525,1:-2799.8320989522854,2:-2628.0459786546444}
Key: POS: Value: {0:-612.4994752524059,1:-636.5844320052911,2:-588.2604029054372}
Key: POS: Value: {0:-3128.5857679914793,1:-3229.525074618359,2:-3109.5947172028705}
Key: POS: Value: {0:-20913.3906897821,1:-20899.299750066002,2:-20396.778727620567}
Key: POS: Value: {0:-96.96281599397318,1:-96.01067162358139,2:-91.29229864905605}
Key: POS: Value: {0:-2277.8674402621537,1:-2370.3430870762777,2:-2222.7352557203963}
Key: POS: Value: {0:-281.3655954713581,1:-290.11725605202656,2:-279.00450585648986}
Key: POS: Value: {0:-698.9575251338406,1:-698.1854810946734,2:-686.0756734072504}
Key: POS: Value: {0:-1235.2547874403135,1:-1252.3571832892255,2:-1178.6384032920778}
Key: POS: Value: {0:-4504.095995890701,1:-4580.093378293064,2:-4377.852956883465}
Key: POS: Value: {0:-278.60864123356697,1:-293.4999427905336,2:-296.5832280024385}
Key: POS: Value: {0:-2477.7707377189236,1:-2519.5588220191007,2:-2461.274975067091}
Key: POS: Value: {0:-2970.3501888357378,1:-2936.639491556725,2:-2870.532563941245}
Key: POS: Value: {0:-662.4751972703298,1:-686.1980543293776,2:-613.9367292938796}
Key: POS: Value: {0:-526.4755211971238,1:-529.0924840332129,2:-500.7957131785017}
Key: POS: Value: {0:-6235.93930750101,1:-6304.826445054263,2:-6190.708477586613}
Key: POS: Value: {0:-12288.348025526922,1:-12461.667764540784,2:-12135.277897725286}
Key: POS: Value: {0:-1077.3846448316272,1:-1077.5638617008956,2:-1080.6497218455038}
Key: POS: Value: {0:-7905.44810509314,1:-8053.510797877638,2:-7677.018172367237}
Key: POS: Value: {0:-6116.52138298093,1:-6033.068161171106,2:-5952.117701018861}
Key: POS: Value: {0:-7625.107837554882,1:-7543.132332753813,2:-7358.796388647902}
Key: POS: Value: {0:-7288.099112398065,1:-7308.36772059907,2:-7091.497364219}
Key: POS: Value: {0:-2808.5406629145978,1:-2831.475418515466,2:-2722.0932929574715}
Key: POS: Value: {0:-9943.64000228229,1:-10071.74534659706,2:-9754.045146999733}
Key: POS: Value: {0:-4015.0252057638404,1:-4089.5823942556663,2:-3880.452142812768}
Key: POS: Value: {0:-3489.7123677936406,1:-3404.405214988643,2:-3360.162732590546}
Key: POS: Value: {0:-1734.6680049607166,1:-1739.0007999255042,2:-1668.3429298820874}
Key: POS: Value: {0:-5342.090088099353,1:-5320.54115864877,2:-5155.537895258276}
Key: POS: Value: {0:-606.81461635897,1:-613.1480216349771,2:-617.4164630647003}
Key: POS: Value: {0:-6719.930209475219,1:-6755.915479673555,2:-6637.008329688536}
Key: POS: Value: {0:-1449.8283582779106,1:-1443.9281507506591,2:-1375.4807777019344}
Key: POS: Value: {0:-10296.214504691954,1:-10452.709114023795,2:-10074.593078731488}
Key: POS: Value: {0:-1138.9195809088092,1:-1164.0640429820894,2:-1102.146110190637}
Key: POS: Value: {0:-7389.631010468995,1:-7439.680174284636,2:-7189.224300392092}
Key: POS: Value: {0:-159.31100522834788,1:-155.4037156631787,2:-154.5586325003066}
Key: POS: Value: {0:-2092.580950093391,1:-2107.2675255460863,2:-2023.5406621051163}
Key: POS: Value: {0:-1800.18367986409,1:-1852.210592354108,2:-1758.1050295989915}
Key: POS: Value: {0:-636.3374062402356,1:-669.4539370967311,2:-624.0749909333437}
Key: POS: Value: {0:-2030.1263694529728,1:-2118.984825739445,2:-2007.4936118607916}
Key: POS: Value: {0:-6778.781660655244,1:-6903.047810267806,2:-6616.046940690188}
Key: POS: Value: {0:-6533.102000690034,1:-6619.3648762198345,2:-6303.7799081352205}
Key: POS: Value: {0:-5849.01390637001,1:-5791.62194288884,2:-5661.133219324214}
Key: POS: Value: {0:-2298.5546879609947,1:-2316.2565151383733,2:-2206.659100393135}
Key: POS: Value: {0:-473.3111608790771,1:-470.1139256357544,2:-469.3407863194625}
Key: POS: Value: {0:-4651.464298356715,1:-4741.394930586466,2:-4545.983771040885}
Key: POS: Value: {0:-7405.025362243547,1:-7410.142664674775,2:-7242.573837641551}
Key: POS: Value: {0:-1215.250600393773,1:-1211.2691476082546,2:-1189.8902875531949}
Key: POS: Value: {0:-5028.057178103915,1:-5078.06315141477,2:-4983.130050215104}
Key: POS: Value: {0:-230.74761469416643,1:-215.15279498294706,2:-207.4810655510267}
Key: POS: Value: {0:-17814.661124297647,1:-17822.540365525838,2:-17289.030285994904}
Key: POS: Value: {0:-19967.207100593154,1:-19995.251082277613,2:-19612.558873752416}
Key: POS: Value: {0:-6260.771703122124,1:-6349.852587447965,2:-6152.554510655778}
Key: POS: Value: {0:-2382.597550866751,1:-2437.362116430225,2:-2321.334899604312}
Key: POS: Value: {0:-25651.81632103089,1:-25545.028402342894,2:-24755.93243580245}
Key: POS: Value: {0:-3901.7170201055847,1:-3940.5625628518,2:-3809.568022212343}
Key: POS: Value: {0:-1574.9764393156756,1:-1548.3361384624266,2:-1512.171863052318}
Key: POS: Value: {0:-4949.275116476284,1:-5157.821214915589,2:-4964.501268232655}
Key: POS: Value: {0:-600.7008137116998,1:-591.6523495120148,2:-585.5868008548425}
Key: POS: Value: {0:-4529.952679417476,1:-4564.214548000615,2:-4410.337437611442}
Key: POS: Value: {0:-2037.685676243616,1:-2086.019544629699,2:-1990.3346802934232}
Key: POS: Value: {0:-388.7452000087513,1:-359.930673192841,2:-369.08670357917646}
Key: POS: Value: {0:-890.2925658860486,1:-855.129284503363,2:-865.5421936663106}
